subid,looking_time_IDS,looking_time_ADS,age_days,child_gender,child_race_ethnicity,multilingual,CG_years_ed,child_N_sibs,CG_gender
ManyBabies028,10.168125,7.896,379,M,Caucasian,Y,18,1,F
ManyBabies029,10.21666667,7.221,441,M,Caucasian,N,18,0,F
ManyBabies030,3.655,3.4375,400,M,Caucasian,N,16,1,F
ManyBabies032,8.705125,4.983125,396,M,Caucasian,N,14,0,F
mb_003,4.201,3.8112,284,M,Caucasian,N,16,0,M
mb_004,5.046125,3.90325,269,F,Caucasian,N,21,1,F
mb_005,10.045125,7.78975,248,F,Caucasian,N,16,0,F
mb_006,5.175,13.198,356,F,Caucasian,Y,18,0,F
mb_008,16.8425,10.07075,270,M,Caucasian,N,18,0,M
mb_009,12.8658,13.08914286,319,F,Caucasian,Y,18,1,F
mb_010,3.370666667,4.053666667,328,F,Caucasian,Y,18,0,F
mb_011,15.543,9.006125,297,F,Caucasian,N,18,0,F
mb_012,8.45625,6.333666667,213,F,Caucasian,N,14,0,F
mb_013,8.61475,5.488625,244,F,Multiracial,N,18,0,F
mb_014,6.52925,5.318125,265,F,Caucasian,N,16,0,M
mb_015,7.547125,3.25625,405,M,Multiracial,Y,18,0,F
mb_016,9.074125,8.087625,265,M,Caucasian,N,16,0,F
mb_017,6.30625,4.938125,405,F,Caucasian,N,16,0,F
mb_018,10.636,8.582666667,286,M,Multiracial,Y,18,0,F
mb_019,9.232875,5.179625,318,F,Caucasian,N,16,0,F
mb_020,9.2306,8.7068,420,F,Caucasian,N,16,1,F
mb_021,5.7926,3.896,277,F,Caucasian,Y,16,1,F
mb_022,5.231375,3.9145,330,F,Caucasian,N,16,0,F
mb_023,7.914125,8.854875,302,F,Caucasian,N,16,1,F
mb_024,2.856875,2.808625,358,M,Caucasian,N,16,1,F
mb_025,6.844625,5.236125,254,F,Multiracial,N,18,0,F
mb_026,9.725625,5.44725,354,F,Caucasian,Y,16,1,M
mb_027,7.224125,4.9805,354,F,Caucasian,Y,16,1,M
mb_028,4.601666667,5.632571429,306,M,Caucasian,Y,21,1,F
mb_029,6.64575,2.800625,410,M,Caucasian,N,18,0,M
mb_030,4.48975,4.538375,284,M,Caucasian,N,16,1,F
mb_031,9.476,4.693875,391,F,Caucasian,N,14,0,M
mb_032,10.990875,3.33975,398,M,Caucasian,N,18,1,F
mb_033,7.4695,8.86175,184,F,Caucasian,N,16,1,F
mb_034,4.743857143,4.50775,334,F,Caucasian,N,14,2,M
mb_035,9.975375,6.879375,365,F,Multiracial,Y,14,0,F
mb_036,5.318166667,5.107571429,399,F,Caucasian,N,14,1,F
mb_037,4.114833333,3.514166667,301,F,Caucasian,Y,21,1,F
mb_038,10.3445,8.94025,195,F,Caucasian,N,14,0,M
mb_039,6.611125,5.55275,295,M,Multiracial,Y,20,1,F
mb_040,7.756625,6.58475,368,F,Caucasian,Y,18,0,F
mb_041,5.40825,7.514125,208,F,Caucasian,N,16,0,F
